region,year,period,sensor,ndvi,evi,n_pixels,n_parts
Орловская область,2020,35,viirs,0.44836819419943624,0.2443721376139265,98335,1
Орловская область,2021,13,viirs,0.33859627730689135,0.12550937269639148,96304,1
Орловская область,2021,14,viirs,0.3880027817739797,0.1905354363227709,4715,1
Орловская область,2021,15,viirs,0.4077097362284372,0.2112972320429522,45040,1
Орловская область,2021,16,viirs,0.47794190742141224,0.2658901328880274,88381,1
Орловская область,2021,17,viirs,0.6224136663965547,0.37739529736739874,102775,1
Орловская область,2021,18,viirs,0.6229986231769292,0.37779969093414345,102227,1
Орловская область,2021,19,viirs,0.617159570634035,0.4038371586695227,3600,1
Орловская область,2021,20,viirs,0.7908765560721005,0.5650668849973499,102778,1
Орловская область,2021,21,viirs,0.8202342977603669,0.5955046354829481,103049,1
Орловская область,2021,22,viirs,0.8059984954906395,0.5850171254693497,103012,1
Орловская область,2021,23,viirs,0.7430389755023351,0.5376753197766995,90078,1
Орловская область,2021,24,viirs,0.7214766342069213,0.5267263397269527,102902,1
Орловская область,2021,25,viirs,0.676206197860793,0.4904698873220166,102230,1
Орловская область,2021,26,viirs,0.5846706089523475,0.3968350379195828,48302,1
Орловская область,2021,27,viirs,0.5375893923810114,0.3638431053822559,83319,1
Орловская область,2021,28,viirs,0.5683796333463722,0.3684601031319655,101454,1
Орловская область,2021,29,viirs,0.5626423219301483,0.35922585228374143,99842,1
Орловская область,2021,30,viirs,0.4744273339436614,0.2755020090466076,27017,1
Орловская область,2021,31,viirs,0.5233280811852594,0.272669421079715,93696,1
Орловская область,2021,32,viirs,0.5304725063688066,0.284459237248824,102416,1
Орловская область,2021,33,viirs,0.48498667808879,0.27402333286429625,98795,1
Орловская область,2021,34,viirs,0.4707958429754549,0.2356824292862153,19177,1
Орловская область,2021,35,viirs,0.4718912475730759,0.2114689412404524,103044,1
Орловская область,2022,13,viirs,0.3543584001248958,0.15785216769361557,18844,1
Орловская область,2022,14,viirs,0.4029510185215251,0.18618727164071452,29358,1
Орловская область,2022,15,viirs,0.46852985012632337,0.2261656454617787,96546,1
Орловская область,2022,16,viirs,0.4839201174670477,0.23665190485165755,96261,1
Орловская область,2022,17,viirs,0.5661429986049743,0.3383523693077791,56323,1
Орловская область,2022,18,viirs,0.5685646869074783,0.3574585182973241,53029,1
Орловская область,2022,19,viirs,0.6756647016167145,0.47189763513134003,42366,1
Орловская область,2022,20,viirs,0.7469632959943004,0.5236499470065279,79640,1
Орловская область,2022,21,viirs,0.7616781678651037,0.5396676925873359,82162,1
Орловская область,2022,22,viirs,0.8135715836021058,0.5828357837641408,102327,1
Орловская область,2022,23,viirs,0.8109247898750525,0.578271754998257,102099,1
Орловская область,2022,24,viirs,0.7355649932043336,0.5162020739882073,39626,1
Орловская область,2022,25,viirs,0.7211513135078454,0.4943388407946561,59739,1
Орловская область,2022,26,viirs,0.696334547711486,0.47047947793197764,44968,1
Орловская область,2022,27,viirs,0.5621148752561849,0.3851492320607427,73496,1
Орловская область,2022,28,viirs,0.5912591855358184,0.39294385643566004,88329,1
Орловская область,2022,29,viirs,0.6090080837436893,0.39762408429410045,102965,1
Орловская область,2022,30,viirs,0.5888663686447385,0.3786375723720112,102891,1
Орловская область,2022,31,viirs,0.5378484523717696,0.2994548733238695,102947,1
Орловская область,2022,32,viirs,0.5310334326537777,0.2889803561057019,102947,1
Орловская область,2022,33,viirs,0.4904346092023708,0.2482469825019137,16409,1
Орловская область,2022,34,viirs,0.5087429235135061,0.21064455103247662,94685,1
Орловская область,2022,35,viirs,0.5144220375824117,0.21375348177219697,102513,1
Орловская область,2023,13,viirs,0.3745065735044701,0.16641164279776155,82167,1
Орловская область,2023,14,viirs,0.39733232106979777,0.178413060785797,78199,1
Орловская область,2023,15,viirs,0.5152977863607634,0.2382135602423585,99884,1
Орловская область,2023,16,viirs,0.5329483214287721,0.25967204292899193,99119,1
Орловская область,2023,17,viirs,0.5761657271554146,0.3435326329139815,91938,1
Орловская область,2023,18,viirs,0.6924231241711468,0.4318153199377341,102577,1
Орловская область,2023,19,viirs,0.7263996736299639,0.48128157205876987,101854,1
Орловская область,2023,20,viirs,0.7320747068608284,0.510345442638796,90163,1
Орловская область,2023,21,viirs,0.7542850506381604,0.5169685531412119,91161,1
Орловская область,2023,22,viirs,0.7579100345906361,0.5122420893392647,74987,1
Орловская область,2023,23,viirs,0.7789217983664716,0.5478476330691425,57365,1
Орловская область,2023,24,viirs,0.771336773803414,0.5370611074193791,65088,1
Орловская область,2023,25,viirs,0.7295974208421644,0.5096226720972413,51501,1
Орловская область,2023,26,viirs,0.629005478492063,0.42979040323407763,62916,1
Орловская область,2023,27,viirs,0.6419157895325143,0.43314283200223,99311,1
Орловская область,2023,28,viirs,0.6476297974049205,0.4369945287044077,101064,1
Орловская область,2023,29,viirs,0.6149655216603217,0.39974323591897,85557,1
Орловская область,2023,30,viirs,0.5713389447815798,0.3607516631377965,91982,1
Орловская область,2023,31,viirs,0.5843924699183787,0.3495454685069212,100389,1
Орловская область,2023,32,viirs,0.5767236357522035,0.33178833442857264,98743,1
Орловская область,2023,33,viirs,0.552261731251764,0.31062533906447054,102995,1
Орловская область,2023,34,viirs,0.5484240408018984,0.3087667351740147,102993,1
Орловская область,2023,35,viirs,0.48601746024645004,0.2491541521645441,73262,1
Орловская область,2024,13,viirs,0.3519773393250488,0.16377362164434964,97111,1
Орловская область,2024,14,viirs,0.5416664562043022,0.27300241613011345,60813,1
Орловская область,2024,15,viirs,0.5772948942109511,0.31021865436317975,102909,1
Орловская область,2024,16,viirs,0.5764642337640303,0.31480235090353237,102808,1
Орловская область,2024,17,viirs,0.6298035789639904,0.3817003521344009,64590,1
Орловская область,2024,18,viirs,0.6785007508424475,0.4328073744518027,103059,1
Орловская область,2024,19,viirs,0.6853948521556064,0.44248307012385324,103059,1
Орловская область,2024,20,viirs,0.6998228269762535,0.4791906890515962,28875,1
Орловская область,2024,21,viirs,0.7906186419348707,0.5152553617711806,98490,1
Орловская область,2024,22,viirs,0.8125367660756677,0.5609041998409459,102616,1
Орловская область,2024,23,viirs,0.7964796099610961,0.5776996832445086,103046,1
Орловская область,2024,24,viirs,0.7530073001221912,0.5311312119732591,103033,1
Орловская область,2024,25,viirs,0.6327891559974254,0.4470508713437088,49807,1
Орловская область,2024,26,viirs,0.6314110984644248,0.4528651074068938,37147,1
Орловская область,2024,27,viirs,0.580954274925082,0.4046124587538367,15841,1
Орловская область,2024,28,viirs,0.6034659182884402,0.3864701517884684,97085,1
Орловская область,2024,29,viirs,0.6121964158815076,0.38786756746495754,101443,1
Орловская область,2024,30,viirs,0.5822693674722422,0.3548859911608506,102892,1
Орловская область,2024,31,viirs,0.5434059770065858,0.3239717814406216,103013,1
Орловская область,2024,32,viirs,0.5085695450690425,0.2942485162625585,102874,1
Орловская область,2024,33,viirs,0.48948117673619024,0.27711381207530894,102749,1
Орловская область,2024,34,viirs,0.44324773812756774,0.2444657371983067,102487,1
Орловская область,2024,35,viirs,0.43001055448867703,0.20927043648926946,102767,1
Орловская область,2025,13,viirs,0.459127366449695,0.22764285394734116,101972,1
Орловская область,2025,14,viirs,0.4671249412209046,0.23365848362526354,102043,1
Орловская область,2025,15,viirs,0.5463374883042666,0.2848546781199822,78505,1
Орловская область,2025,16,viirs,0.5505241144449885,0.2983229774316488,44141,1
Орловская область,2025,17,viirs,0.6248830913703065,0.39696581135581677,83356,1
Орловская область,2025,18,viirs,0.6586648236495339,0.4284835930578499,102723,1
Орловская область,2025,19,viirs,0.6883537375105402,0.43769590691137855,102646,1
Орловская область,2025,20,viirs,0.7163058385509652,0.43688518983465274,46384,1
Орловская область,2025,21,viirs,0.7853225020440271,0.5320064753393866,19198,1
Орловская область,2025,22,viirs,0.7895597493562629,0.567543484596829,41934,1
Орловская область,2025,23,viirs,0.785273358555797,0.5642749539186053,103010,1
Орловская область,2025,24,viirs,0.7860137829060286,0.5661412199603647,102991,1
Орловская область,2025,25,viirs,0.7051115048423551,0.5009115482128098,56261,1
Орловская область,2025,26,viirs,0.6904444180844891,0.49094063224393714,69110,1
Орловская область,2025,27,viirs,0.6664103327050597,0.47391265140994965,68111,1
Орловская область,2025,28,viirs,0.6267030494819127,0.42970280100435426,44371,1
Орловская область,2025,29,viirs,0.6287414187314952,0.3928701955810311,29253,1
Орловская область,2025,30,viirs,0.6118199490968026,0.3884849477105305,102574,1
Орловская область,2025,31,viirs,0.6399693399867308,0.4048231252103429,103056,1
Орловская область,2025,32,viirs,0.6103356099130073,0.3698256058072037,103013,1
Орловская область,2025,33,viirs,0.5764165586633864,0.34141239655576733,103037,1
Орловская область,2025,34,viirs,0.5637401747349545,0.31764850721033866,103049,1
Орловская область,2025,35,viirs,0.4904203995568946,0.2483946447891506,87055,1
Пензенская область,2012,13,viirs,0.11157681888923864,0.0654907124995628,4542,1
Пензенская область,2012,14,viirs,0.412378500286402,0.1989801683785376,55933,1
Пензенская область,2012,15,viirs,0.5165394424750398,0.2569379720042642,129936,1
Пензенская область,2012,16,viirs,0.573042657355167,0.2993373644805811,129995,1
Пензенская область,2012,17,viirs,0.6528995848774254,0.36586993114098176,130329,1
Пензенская область,2012,18,viirs,0.6613494951148251,0.3729546441877686,130327,1
Пензенская область,2012,19,viirs,0.6999365252090086,0.3999897685493474,85620,1
Пензенская область,2012,20,viirs,0.736152610415632,0.43465519984781775,108380,1
Пензенская область,2012,21,viirs,0.739510238416052,0.4431130233375702,126747,1
Пензенская область,2012,22,viirs,0.7059539950004587,0.4410456224048881,130250,1
Пензенская область,2012,23,viirs,0.722575747504874,0.4509009292553747,130308,1
Пензенская область,2012,24,viirs,0.7014109292803065,0.4165843191418498,130276,1
Пензенская область,2012,25,viirs,0.6521489235641432,0.3988519297466111,117573,1
Пензенская область,2012,26,viirs,0.6271532200243054,0.36571659560744085,82106,1
