region,year,month,t2m_c,swvl1_m3m3,ssrd_mj_m2,tp_mm,pev_mm
Псковская область,2013,8,17.725564262288913,0.3193111442685559,478.45993487334135,70.57564378158831,192.94576296544622
Псковская область,2013,9,11.415952425267676,0.3169359269274446,291.1504560072376,52.61763735967536,121.90874733381305
Псковская область,2014,4,6.7585397386723685,0.33845693038369834,502.6982128588661,22.524599046575577,183.64932450979265
Псковская область,2014,5,13.869525654497181,0.32073628571697826,556.8013545983111,77.8453390280277,223.19474683308343
Псковская область,2014,6,14.8067046493328,0.3567224187356284,554.4463426537998,118.35101121515306,195.88274353232114
Псковская область,2014,7,20.477417846237984,0.29203906824275294,646.3041846176116,39.60910934186175,259.3310930023579
Псковская область,2014,8,17.965412842091382,0.3063027228894941,467.29273681544026,113.48738463537092,199.98790034338992
Псковская область,2014,9,12.768861968957367,0.3293186275173873,318.3384669481303,34.99355970121318,128.29619191308362
Псковская область,2015,4,5.836415849232424,0.3805599603779497,405.8471658383595,68.81381982130833,161.15115171318607
Псковская область,2015,5,11.6835405632728,0.34772866022457405,543.7289174813028,59.29765982294413,204.0488677339761
Псковская область,2015,6,16.086030974347864,0.251935326147137,636.9062069240049,23.79157383659679,276.5768796061722
Псковская область,2015,7,17.221080791993415,0.29961635465357356,594.7236611049457,109.14930121678819,240.90382082003592
Псковская область,2015,8,18.257822925305334,0.2636419096096577,537.7178735126658,25.343077182707987,224.41365857427743
Псковская область,2015,9,13.585958821810948,0.3386152794335231,254.11346460796142,87.10873904312197,109.60249385298808
Псковская область,2016,4,6.515944208713449,0.38307156810139287,379.7794239806997,80.58425560043126,126.21569057389537
Псковская область,2016,5,14.295435306562922,0.32926767899130166,626.8583118118214,47.044257782242376,231.81392325692786
Псковская область,2016,6,17.141185257086875,0.3169357060523315,608.5130989867309,77.25928694237838,239.175916059601
Псковская область,2016,7,19.01041275963138,0.36650610027612335,534.1344740965019,150.57286661257575,196.13051188006474
Псковская область,2016,8,17.002347873002122,0.3750360762684711,430.04580812545237,115.75510107493085,166.3664128671797
Псковская область,2016,9,12.601611210324961,0.32653604284270393,268.7782016887817,35.933940308376364,118.6019174116512
Псковская область,2017,4,3.9196050370127864,0.3763273121795838,378.38840337756335,71.19285714260974,122.81930390902683
Псковская область,2017,5,10.326168458798293,0.33582430150454234,621.4128960868517,49.62641556816911,217.54859006807516
Псковская область,2017,6,14.091245688517802,0.34956669088439574,566.8836966224367,100.78644164836773,213.1887378824922
Псковская область,2017,7,16.431121833534405,0.36355485904633783,524.2467609891436,115.10579408268894,183.34057342948614
Псковская область,2017,8,17.21076356821095,0.3612363513905119,452.8974664270205,138.94621534239326,186.89338586981822
Псковская область,2017,9,12.756792763777923,0.37710444285872474,239.00201493365503,80.68161138049153,112.2348654938837
Псковская область,2018,4,7.239638424494899,0.38282330447428187,415.3842756332931,55.671150744718524,140.43998004659667
Псковская область,2018,5,15.593572239709033,0.2963961611610845,708.0731106924005,24.663073925951057,279.96436784221413
Псковская область,2018,6,16.31473272344317,0.2657558316919858,617.2620123039807,60.70559878077524,272.71513250826064
Псковская область,2018,7,19.729412201259095,0.3073183434719919,537.3682453413752,81.3039322969289,207.90997397410712
Псковская область,2018,8,18.64408549457181,0.28260716713236955,485.77260355126657,71.07493177826423,224.59816272102017
Псковская область,2018,9,14.442710119967614,0.31055885747488504,308.8736097828709,60.02013439838342,157.28294876358046
Псковская область,2019,4,7.318970433362892,0.32219321477542595,528.4117812303981,5.457292796109507,194.84264688483194
Псковская область,2019,5,12.859873412055208,0.33607212338142717,542.9666159638118,100.22198309699485,211.01755227340865
Псковская область,2019,6,19.19506523767342,0.3026989245443494,664.2987503015681,57.46004874374273,268.59267970908826
