year,harvest_true,harvest_pred,harvest_base,ошибка_%,horizon_k
2020,132498.4,131662.61749772276,129517.90576194569,-0.6307868640506031,21
2021,117548.73689100001,126795.40934821953,128328.56167266656,7.866245696705132,21
2022,127484.86680398165,108999.47202606818,108438.50346527992,-14.500069883852385,21
2023,142063.74136352964,138105.61879302037,141566.18424935063,-2.7861596016824253,21
2024,123789.40193066876,145144.5238734213,145727.83833960452,17.25117143284447,21
2018,112476.3319,118055.52981354138,121823.59873462838,4.960330604043617,22
2019,119576.7158,120527.53636985243,118741.37805670626,0.7951552804333017,22
2020,132498.4,131839.15987860982,129520.89123084939,-0.4975457223560298,22
2021,117548.73689100001,126911.5748377847,127892.54833598941,7.9650689530306185,22
2022,127484.86680398165,108737.07763538246,107756.90142477142,-14.705893835560458,22
2023,142063.74136352964,138787.85328705056,142244.22283746602,-2.3059283424729404,22
2024,123789.40193066876,146564.60973854482,145825.2228180273,18.398350305167387,22
2018,112476.3319,118047.51162277898,122174.89024953563,4.953201823590914,23
2019,119576.7158,120606.09962213447,119036.86678951522,0.8608564094168436,23
2020,132498.4,131841.95781584195,129537.57140718291,-0.49543404611530617,23
2021,117548.73689100001,126108.89606508058,127653.60086013802,7.282221315587756,23
2022,127484.86680398165,107248.2396462697,107058.68668599935,-15.873748520149778,23
2023,142063.74136352964,137720.73760881924,142549.3478770818,-3.0570810771462065,23
2024,123789.40193066876,145089.2723100205,145877.84479264222,17.206537916130536,23
